Crash Event,내용,사용자 수,이벤트 수,90일간 사용자 수,90일간 이벤트 수,수정 현황,Jira 이슈 필드
ImageAssetManager.bitmapForId,OOM 발생(홈 화면 Bitmap 접근 시),0,0,2,2,,
SolverVariable.<init>,OOM 발생(챌린지 탭 ConstraintLayout 관련),0,0,8,9,,
WV.N4.c,OOM 발생(WebView접근시),0,0,4,4,,
ServiceConnection.connect,ServiceConnet 실패(HealthConnect 권한 관련),0,0,4,54,,
DisplayEventReceiver.dispatchVsync,OOM 발생(DisplayEventReceiver ),0,0,2,2,,
ViewGroup.offsetRectBetweenParentAndChild,"MotionLayout 그릴 때 offset 측정 오류 ",0,0,1,1,,
g.a,OOM 발생 (com.kakao.adfit 내부),0,0,3,3,,
org.chromium.android_webview.AwContents.v,OOM 발생 (WebView),0,0,2,2,,
WV.eq.a,OOM 발생 (WebView),0,0,2,2,,
WV.I7.b,OOM 발생 (WebView),0,0,7,7,,
HomeNormalChallengeAdapter.createRecruitingAdnetworkViewHolder,OOM 발생 (Home List AdnetworkViewHolder Inflate시),0,0,1,1,,
io.balso.ui.base.BaseBindingActivity$dataBinding$2.invoke,databinding시  Resource 참조 문제,0,0,13,17,,
RecruitingChallengeAdapter.createRecruitingChallengeViewHolder,OOM 발생 (챌린지 탭 - RecruitingChallengeAdapter),0,0,3,3,,
Object.internalClone,OOM 발생 (layout xml 구성 관련),0,0,1,1,,
BaseSharedPreference.get,OOM 발생 (SharedPreference get),0,0,1,1,,
com.igaworks.ssp.common.m.a.f,OOM 발생 (Home - AdPopcorn 광고),0,0,2,2,,
DirectExecutor.execute,헬스 커넥트 연결 실패 시,0,0,1,1,,
ExitAppDialog.initOfferwallLayout,OOM 발생(앱 종료 팝업 생성 시),0,0,1,1,,
InsecureNonceAesGcmJce.decrypt,OOM 발생(SharedPreference),0,0,1,1,,
com.igaworks.ssp.part.hybrid.AdPopcornSSPJsBridge$d.OnCustomAdReceiveSuccess,OOM 발생(애드팝콘 SSP 광고),0,0,1,1,,
ArrayLinkedVariables.<init>,OOM 발생(홈 MotionLayout),0,0,2,2,,
com.igaworks.ssp.common.o.a$d.run,OOM 발생(애드팝콘 SSP 광고),0,0,4,4,,
StepManagerImpl.processWalkData,OOM 발생(걸음 수 계산),0,0,1,1,,
RealConnectionPool.cleanup,정규식 Class관련 IncompatibleClassChangeError,0,0,1,1,,
com.fsn.cauly.blackdragoncore.contents.f.a,"openIntent 시  Activity없음 ",0,0,3,8,,
PincruxOfferwallActivity.onResume,PincruxOfferwall화면 Activity Lifecycle 문제,0,0,1,1,,
ConstraintWidget.<init>,OOM 발생(홈 MotionLayout),0,0,3,3,,
SemDesktopModeManager.getDesktopModeState,DeadSystemException,0,0,1,1,,
f.a,OOM 발생(kakao.adfit),0,0,1,1,,
java.lang.OutOfMemoryError,OOM 발생(Exception Throw 중),0,0,4,5,,
ThreadedRenderer.nDeleteProxy,View Rendering 중 Timeout,0,0,1,1,,
SplineSet$Sort.doubleQuickSort,OOM 발생(ConstraintLayout),0,0,2,2,,
ConstraintAnchor.resetSolverVariable,OOM 발생(ConstraintLayout),0,0,2,2,,
org.chromium.content.browser.GestureListenerManagerImpl.onEventAck,destroy된 window에 이벤트 전달,0,0,2,2,,
MotionController.<init>,OOM 발생(MotionLayout),0,0,1,1,,
SQLiteSession.throwIfNoTransaction,DB Transaction 관련 에러,0,0,4,4,,
DisplayManagerGlobal.getDisplayIds,화면이 종료된 이후 display의 id목록을 요청,0,0,1,1,,
MaterialTextView.<init>,adPie adView의 MaterialTextView에서 OOM,0,0,1,1,,
org.chromium.android_webview.AwContents.n,webView가 제거되기 전에 destroy가 호출,0,0,1,1,,
BaseSharedPreference.set,coinPopup 관련 sharedPreference 값 설정 중 OOM,0,0,1,1,,
aosc.d java.lang.ClassNotFoundException - erew,안드로이드 gms라이브러리 내의 특정 class를 참조하지 못하는 현상,0,0,1,1694,,BD-516
ServiceConnection.onBindingDied,ServiceConnet 실패(HealthConnect 권한 관련),0,0,2,2,,
FloatingLayout.updateCoinText,Floating버튼 관련 현상,0,0,1,1,,
TextView.getTextDirectionHeuristic,TextView관련 현상,0,0,1,1,,
ActivityResultContracts$RequestMultiplePermissions.parseResult,Kotlin Collection Array관련 현상,0,0,1,1,,
BaseWebChromeClient.onCreateWindow,Chrome Native Crash현상,0,0,1,1,,
BaseBindingActivity$dataBinding$2.invoke,databinding시 설치된 WebView를 찾지 못하는 문제,0,0,6,35,,
BaseBindingFragment.onCreateView,Fragment생성시 설치된 WebView가 없는 문제,0,0,3,5,,
org.chromium.android_webview.AwDataDirLock.b,Chrome WebView사 관련 현상,0,0,1,1,,
SQLiteConnection.nativeExecute,Android SQLiteDatabase 오류 문제,0,0,2,4,,
DiskLruCache$Entry.<init>,OOM 발생,0,0,1,1,,
CarouselViewPageAdapter.getCarouselItem,CarouselView에서 IndexOutOfBoundsException 발생 현상,0,0,3,3,,
Linux.open,Device에 공간이 없어서 File Open안되는 현상,0,0,1,1,,
ActivityThread.throwRemoteServiceException,RemoteService Event처리 관련 현상,0,0,2,2,,
BaseActivity.onCreate,Fragment 재생성시 발생하는 오류,0,0,6,6,,
WV.z7.e,Chrome Native Crash현상,0,0,1,1,,
LayoutOHomeNormalMobonBindingImpl.executeBindings,Resource를 찾지 못하는 문제,0,0,1,1,,
LayerParser.parse,Lottie애니메이션 실행시 OOM,0,0,1,1,,
