Crash Event,crash link,내용,사용자 수,이벤트 수,90일간 사용자 수,90일간 이벤트 수,진행상태,수정 현황,수정 버전,Jira 이슈 필드,최초 보고 일자
android.app.ActivityThread.throwRemoteServiceException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/1111f679a8e037bbe213e54d1f126d90,"- resourceId 관련
- startForeground함수를 실행하기 위한 notification 실행 실패",0,0,2,2,원인 파악 중,,,,2024-08-07
WalkService$updateNotification$1.invokeSuspend,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/0f02de4263d58567c359e074a11e701f?time=last-twenty-four-hours&types=crash,System 종료시점에 crashlytics 로깅을 시도하여 발생,0,0,35,63,발생 추이 모니터링,,,,2024-06-03
BinderProxy.transactNative,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/93e7d779a388e0f520c12d23de37be7f?time=last-twenty-four-hours&types=crash,intent 전달시 누수 발생,0,0,4,5,해야할일,,,BD-405,2024-05-30
org.chromium.ui.base.DeviceFormFactor.isTablet,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/64b195624bc42280942addc968a0e070?time=last-twenty-four-hours&types=crash,DeviceFormFactor.isTablet 내부에서 Resource 확인되지 않아 발생,0,0,17,19,해야할일,,,BD-417,2024-05-29
a.getStringNullable,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/90c101d07066a38dbc0b554f8f75e8e8?time=last-twenty-four-hours&types=crash,"- 쇼핑탭으로 이동 시 OOM 발생
- 자세한 사항 추가 분석 필요",0,0,0,0,발생 추이 모니터링,,,,2024-06-03
org.chromium.ui.base.ViewAndroidDelegate.startDragAndDrop,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/c2a2c5e362038ee04f71ccb3219b1316?time=last-twenty-four-hours&types=crash,webView에서 드래그 시작 및 종료시 좌표관련 음수로 인해 발생,0,0,0,0,발생 추이 모니터링,,,,2024-05-30
ViewRootImpl.setView,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/4d076f33818e90b6cac597c2b2fe8f59?time=last-twenty-four-hours&types=crash,2.4.4 반영 후 재발생,0,0,17,22,반영 후 모니터링 중,,,BD-306,2024-06-04
android.app.ActivityThread.handleUnbindService,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/36293788e50e498455ee6f557bd0a311?time=last-twenty-four-hours&types=crash,System 종료시점에 service unbind를 시도하여 발생,0,0,24,28,발생 추이 모니터링,,,,2024-06-05
WalkService$Companion.startService,https://console.firebase.google.com/u/0/project/ballosodeuk/crashlytics/app/android:io.balso/issues/a8fd3d6cb602d59a6bdfbc67f5f077c1?hl=ko&time=last-twenty-four-hours&types=crash,ForegroundService가 일정시간 안에 되지 않아 발생하는 크래시,0,0,0,0,해야할일,,,BD-416,2024-05-30
BaseActivity.onResume,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/728552948e58ceb5600c0ba249e1fdd9?time=last-twenty-four-hours&types=crash,"OS 8, 9에서만 발생",0,0,4,5,해야할일,,,BD-419,2024-05-30
WebRequest.makeRequest,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/164f46503be70e5bbaa344905ac7bb69?time=last-twenty-four-hours&types=crash,Unity3D광고 처리중 발생,0,0,5,5,발생 추이 모니터링,,,,2024-06-07
SQLiteConnection.nativeExecuteForCursorWindow,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/5477adea1e4c817c12c45eab81c97772?time=last-twenty-four-hours&types=crash,Sqlite db에 내용을 추가할 디스크 공간이 없는 경우 발생,0,0,1,1,발생 추이 모니터링,,,,2024-06-07
Daemons$FinalizerWatchdogDaemon.refQueueTimeoutException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/85019c61dc861c92c19c5bcf209fdd4d?time=last-twenty-four-hours&types=crash,galaxy s23FE 모델에서만 발생,0,0,11,11,발생 추이 모니터링,,,,2024-06-10
BaseActivity.onPause,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/6f9503dda425f59949e5eb70930e9ae5?time=last-twenty-four-hours&types=crash,"2.4.4에 적용 배포  됐으나,  ‘2024. 5. 8’ 2.4.5에 1회 재현됨 발생 확인 되므로 다시 진행중으로 변경",0,0,3,3,반영 후 모니터링 중,,2.4.4,BD-306,2024-06-12
Parcel.readException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/bccda9411dca2b0596a22897f5086baa?time=last-twenty-four-hours&types=crash,AOS8의 저사양 단말(Galaxy A5(2017))에서 발생,0,0,1,1,발생 추이 모니터링,,,,2024-06-12
zq1.g,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/03ce6ae9547eb3436719878591736eb3?time=last-twenty-four-hours&types=crash,시스템이 죽은 상태에서 걸음수 sync를 시도해서 발생,0,0,1,1,발생 추이 모니터링,,,,2024-06-13
ViewRootImpl.obtainQueuedInputEvent,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/44bf43f9c4792dde3f8b02fa8b861743?time=last-twenty-four-hours&types=crash,저사양 단말 대비 과도한 메모리 사용으로 OOM,0,0,1,1,발생 추이 모니터링,,,,2024-06-13
org.chromium.content.browser.GestureListenerManagerImpl.f,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/94a9ebea3fd1bbf93caa3612e6e149e9?time=last-twenty-four-hours&types=crash,SelectionPopupControllerImpl.C 함수가 정상 동작하지 않아 발생,0,0,7,7,발생 추이 모니터링,,,,2024-06-13
com.pincrux.offerwall.ui.base.a.b,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/437e609b2c9ca0ca8076d3ac4a5e0d4f?time=last-twenty-four-hours&types=crash,pincrux offerwall 라이브러리 관련 NullPointerException,0,0,2,2,발생 추이 모니터링,,,,2024-06-14
Parcel.createExceptionOrNull,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/b4ed4fbbe4dc38923666f31ed827aa0e?time=last-twenty-four-hours&types=crash,remoteException과 연관되어 발생,0,0,5,5,발생 추이 모니터링,,,,2024-06-14
MdfUtils.getName,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/0f35b2446a1e22183b017ff46bcee799?time=last-twenty-four-hours&types=crash,삼성 보안관련 라이브러리에서 OOM 발생으로 추정,0,0,1,1,발생 추이 모니터링,,,,2024-06-17
com.igaworks.ssp.common.n.a$b.run,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/163215efa706fcac4ef36c549fda7738?time=last-twenty-four-hours&types=crash,IGAWorks 관련 함수에서 OOM 발생,0,0,3,3,발생 추이 모니터링,,,,2024-06-17
LayoutChallengeListBindingImpl.executeBindings,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/9869fda63c9c9b4ea8734186a9d968fb?time=last-twenty-four-hours&types=crash,챌린지탭 - 챌린지리스트에서 OOM 발생,0,0,1,1,발생 추이 모니터링,,,,2024-06-17
com.igaworks.ssp.common.n.a.b,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/505c4570230275635479d0aa4133f4e6?time=last-twenty-four-hours&types=crash,adpopcorn(IGAWorks) 라이브러리 내에서 OOM 발생,0,0,9,9,발생 추이 모니터링,,,,2024-06-21
AppInitializer.doInitialize,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/e983fecab81a8c27258062403bd5701d?time=last-twenty-four-hours&types=crash,시스템의 앱 실행 이벤트 공급시 발생,0,0,2,2,발생 추이 모니터링,,,,2024-06-21
ServiceConnection.lambda$new$0,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/8fd219a3f8434647ef7926ee2e6ae46a?time=last-twenty-four-hours&types=crash,healthConnect binder 관련 크래시,0,0,1,1,발생 추이 모니터링,,,,2024-06-24
Preconditions.outOfBounds,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/a34175e57d4cd343ec43f9d330ccada0?time=last-twenty-four-hours&types=crash,매일 버튼 누르기 혜택내에서 OOB 발생,0,0,1,1,발생 추이 모니터링,,,,2024-06-26
org.chromium.content.browser.GestureListenerManagerImpl.g,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/b0e5aa2f71fe233d4b58407f6e052598?time=last-twenty-four-hours&types=crash,benefitID 9 혜택에서 제스쳐관련 크래시,0,0,1,1,발생 추이 모니터링,,,,2024-06-26
LimitedDispatcher.dispatch,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/c1dcb9401e4222296bd097de1a629fb5?time=last-twenty-four-hours&types=crash,coroutine dispatcher의 최대 개수를 초과하여 발생,0,0,1,1,발생 추이 모니터링,,,,2024-06-26
RecordingCanvas.throwIfCannotDraw,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/0ece7b0990753a4805cb2b2f577ff592?time=last-twenty-four-hours&types=crash,뷰에 너무 큰 bitmap을 그리려고 시도시 발생,0,0,3,4,발생 추이 모니터링,,,,2024-06-28
AlbumActivity.getPictureList,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/42048dabcd342ced56f1af304a5e3524?time=last-twenty-four-hours&types=crash,사진목록 로드중 경로를 찾을 수 없는 경우 발생,0,0,3,3,발생 추이 모니터링,,,,2024-06-28
Pools$SimplePool.<init>,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/57016946f1c268d3edbeef31dc8fd397?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생 (챌린지 Fragment 내에서 ConstraintLayout 그리는 중),0,0,1,1,발생 추이 모니터링,,,,2024-07-01
android.app.ActivityThread.handleServiceArgs,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/75ccadf7c8e0cbdced7dd33af9f20882?hl=ko&time=last-twenty-four-hours&types=crash,DeadSystemException - FCM Service 생성 시도 시,0,0,7,8,발생 추이 모니터링,,,,2024-07-01
ViewRootImpl.checkThread,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/c4adc38f26bfcb599aa5596b52d2bc91?hl=ko&time=last-twenty-four-hours&types=crash,"Thread에서 UI 접근 ",0,0,69,106,발생 추이 모니터링,"2.4.9 적용 후 모니터링 중, 8/20 2.5.0 1건 발생",2.4.9,BD-491,2024-07-01
Parcel.readBundle,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/21775bb6da4a35866af3888bcf72e766?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(홈 화면접근 시),0,0,1,1,발생 추이 모니터링,,,,2024-07-03
android.app.ActivityThread.handleSleeping,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/22b0e9b595c86f346813acd8d18976bb?hl=ko&time=last-twenty-four-hours&types=crash,DeadSystemException,0,0,5,7,발생 추이 모니터링,,,,2024-07-03
ImageAssetManager.bitmapForId,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/b0d355e3cfcf04c43082067077bb45e9?hl=ko&time=last-twenty-four-hours,OOM 발생(홈 화면 Bitmap 접근 시),0,0,2,2,발생 추이 모니터링,,,,2024-07-03
SolverVariable.<init>,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/eb5aba31a8645f29514ae5f2ac1bccaf?hl=ko&time=last-twenty-four-hours,OOM 발생(챌린지 탭 ConstraintLayout 관련),0,0,8,9,발생 추이 모니터링,,,,2024-07-03
WV.N4.c,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/299931054c1f725ca27cd62794d2c451?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(WebView접근시),0,0,4,4,발생 추이 모니터링,,,,2024-07-05
ServiceConnection.connect,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/3c7597943207715700193dbbe9861930?hl=ko&time=last-twenty-four-hours&types=crash,ServiceConnet 실패(HealthConnect 권한 관련),0,0,4,54,발생 추이 모니터링,,,,2024-07-05
DisplayEventReceiver.dispatchVsync,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/113d2226f16928b2da970bfc18d308a9?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(DisplayEventReceiver ),0,0,2,2,발생 추이 모니터링,,,,2024-07-08
