Crash Event,crash link,내용,사용자 수,이벤트 수,90일간 사용자 수,90일간 이벤트 수,진행상태,수정 현황,수정 버전,Jira 이슈 필드,최초 보고 일자
MotionController.<init>,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/437404a527580180b11b945c96d64471?hl=ko&time=last-twenty-four-hours&types=crash,OOM 발생(MotionLayout),0,0,1,1,발생 추이 모니터링,,,,2024-07-31
SQLiteSession.throwIfNoTransaction,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/36c601a21eb7763b8f50c2d5297845c6?hl=ko&time=last-twenty-four-hours&types=crash,DB Transaction 관련 에러,0,0,4,4,발생 추이 모니터링,,,,2024-07-31
DisplayManagerGlobal.getDisplayIds,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/15136c3f8d925d6d478360c271190c6f?time=last-twenty-four-hours&types=crash,화면이 종료된 이후 display의 id목록을 요청,0,0,1,1,발생 추이 모니터링,,,,2024-08-02
MaterialTextView.<init>,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/2c8743cd542da3c6efad64168c136725?time=last-twenty-four-hours&types=crash,adPie adView의 MaterialTextView에서 OOM,0,0,1,1,발생 추이 모니터링,,,,2024-08-02
org.chromium.android_webview.AwContents.n,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/5e3a52badf7d7a46dbe996bf697d598d?time=last-twenty-four-hours&types=crash,webView가 제거되기 전에 destroy가 호출,0,0,1,1,발생 추이 모니터링,,,,2024-08-02
BaseSharedPreference.set,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/61b76e566fda176552e9de8bbcaa7ca7?time=last-twenty-four-hours&types=crash,coinPopup 관련 sharedPreference 값 설정 중 OOM,0,0,1,1,발생 추이 모니터링,,,,2024-08-02
aosc.d java.lang.ClassNotFoundException - erew,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/37d3a07dc03bb929a596fdf54f0c585c,안드로이드 gms라이브러리 내의 특정 class를 참조하지 못하는 현상,0,0,1,1694,발생 추이 모니터링,,,BD-516,2024-08-05
ServiceConnection.onBindingDied,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/7294b48eed9c3ffe188c9f98a16ff5d9,ServiceConnet 실패(HealthConnect 권한 관련),0,0,2,2,발생 추이 모니터링,,,,2024-08-05
FloatingLayout.updateCoinText,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/12d4ec5429f27c6ef95b8ce926fb3a20,Floating버튼 관련 현상,0,0,1,1,발생 추이 모니터링,,,,2024-08-07
TextView.getTextDirectionHeuristic,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/553c7d40b39ab02bc253344a1409091a,TextView관련 현상,0,0,1,1,발생 추이 모니터링,,,,2024-08-07
ActivityResultContracts$RequestMultiplePermissions.parseResult,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/b439cffcd4192cd1a4b64afa7a508655,Kotlin Collection Array관련 현상,0,0,1,1,발생 추이 모니터링,,,,2024-08-07
BaseWebChromeClient.onCreateWindow,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/dc116f00fb77dcba888d3cbaabe7f6c9,Chrome Native Crash현상,0,0,1,1,발생 추이 모니터링,,,,2024-08-07
BaseBindingActivity$dataBinding$2.invoke,https://console.firebase.google.com/u/0/project/ballosodeuk/crashlytics/app/android:io.balso/issues/a3293304d3f3479d2a737a3556c8fb39,databinding시 설치된 WebView를 찾지 못하는 문제,0,0,6,35,발생 추이 모니터링,,,,2024-08-12
BaseBindingFragment.onCreateView,https://console.firebase.google.com/u/0/project/ballosodeuk/crashlytics/app/android:io.balso/issues/2e1bcbb1adfd5b6e809cc5092b092763,Fragment생성시 설치된 WebView가 없는 문제,0,0,3,5,발생 추이 모니터링,,,,2024-08-12
org.chromium.android_webview.AwDataDirLock.b,https://console.firebase.google.com/u/0/project/ballosodeuk/crashlytics/app/android:io.balso/issues/d61f5a84f3addfb6c46bdcd244582738,Chrome WebView사 관련 현상,0,0,1,1,발생 추이 모니터링,,,,2024-08-14
SQLiteConnection.nativeExecute,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/7a57a046eca8f25c5aac9000736987f0,Android SQLiteDatabase 오류 문제,0,0,2,4,발생 추이 모니터링,,,,2024-08-16
DiskLruCache$Entry.<init>,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/8b9063fa6f45ad254f9c49506968a2b6,OOM 발생,0,0,1,1,발생 추이 모니터링,,,,2024-08-16
CarouselViewPageAdapter.getCarouselItem,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/da44b01595e183c8adc4fcef3420cbf5,CarouselView에서 IndexOutOfBoundsException 발생 현상,0,0,3,3,발생 추이 모니터링,,,,2024-08-16
Linux.open,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/5ed0ab12b88e7f255f8e248024da543f,Device에 공간이 없어서 File Open안되는 현상,0,0,1,1,발생 추이 모니터링,,,,2024-08-21
ActivityThread.throwRemoteServiceException,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/424473ed2ee5458363024b5210af54b1,RemoteService Event처리 관련 현상,0,0,2,2,발생 추이 모니터링,,,,2024-08-26
BaseActivity.onCreate,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/bc8f5f1402db6707becd7838f9e7f098,Fragment 재생성시 발생하는 오류,0,0,6,6,발생 추이 모니터링,,,,2024-08-30
WV.z7.e,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/15a835215996d5bc0741a445810d23b2,Chrome Native Crash현상,0,0,1,1,발생 추이 모니터링,,,,2024-08-30
LayoutOHomeNormalMobonBindingImpl.executeBindings,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/7958684275d9d0cc6c69e1f22ab32b92,Resource를 찾지 못하는 문제,0,0,1,1,발생 추이 모니터링,,,,2024-08-30
LayerParser.parse,https://console.firebase.google.com/project/ballosodeuk/crashlytics/app/android:io.balso/issues/99ef58f2240d183de5c9ac68ff12866f,Lottie애니메이션 실행시 OOM,0,0,1,1,발생 추이 모니터링,,,,2024-08-30
